,block_index,trial,trial_onset(s),stimulus_type,resp_key,rt(s),correct,is_omission,is_comission
0,,0,10.059063999913633,Go,,0.0,Incorrect,True,False
1,,1,12.0684841000475,Go,,0.0,Incorrect,True,False
2,,2,14.084243400022388,No_go,space,0.209068400086835,Incorrect,False,True
3,,3,15.091590399853883,Go,space,0.3512138999067247,Correct,False,False
4,,4,16.10749590001069,Go,space,0.6831975998356938,Correct,False,False
5,,5,17.12399369990453,Go,space,0.5489511000923812,Correct,False,False
6,,6,18.13896949985065,Go,space,0.3673454998061061,Correct,False,False
7,,7,19.15422230004333,Go,space,0.3036841999273747,Correct,False,False
8,,8,20.170314399991184,Go,space,0.2694522999227047,Correct,False,False
9,,9,21.18527209991589,Go,space,0.3843841999769211,Correct,False,False
10,,10,22.201918799895797,Go,space,0.3662829999811947,Correct,False,False
11,,11,23.217385299969465,No_go,space,0.433273599948734,Incorrect,False,True
12,,12,24.23282300005667,Go,space,0.4509417999070138,Correct,False,False
13,,13,25.24945879983716,Go,space,0.4328928999602794,Correct,False,False
14,,14,26.2641261999961,Go,space,0.5328875998966396,Correct,False,False
15,,15,27.28023949987255,Go,space,0.433872900204733,Correct,False,False
16,,16,28.29614180000499,Go,space,0.398889800067991,Correct,False,False
17,,17,29.311197699978948,Go,space,0.5005399000365287,Correct,False,False
18,,18,30.32686639996245,Go,space,0.4333337000571191,Correct,False,False
19,,19,31.34286820003763,No_go,space,0.3828561999835074,Incorrect,False,True
20,,20,32.3591128999833,No_go,space,0.3828807999379933,Incorrect,False,True
21,,21,33.374328800011426,No_go,,0.0,Correct,False,False
22,,22,35.398699299898,Go,space,0.3733045000117272,Correct,False,False
23,,23,36.40540879988112,No_go,space,0.6161527000367641,Incorrect,False,True
24,,24,37.42090409994125,Go,space,0.7831788999028504,Correct,False,False
25,,25,38.43678530002944,Go,space,0.6012622998096049,Correct,False,False
26,,26,39.45193820004352,Go,space,0.5691549000330269,Correct,False,False
27,,27,40.4680786000099,No_go,,0.0,Correct,False,False
28,,28,42.49103709985502,Go,space,0.358282099943608,Correct,False,False
29,,29,43.49892969988287,Go,space,0.4503232999704778,Correct,False,False
30,,30,44.51376720005646,Go,space,0.4834714001044631,Correct,False,False
31,,31,45.52971989987418,Go,space,0.6329795999918133,Correct,False,False
32,,32,46.546397199854255,Go,space,0.51545670023188,Correct,False,False
33,,33,47.56198749993928,Go,space,0.5389854998793453,Correct,False,False
34,,34,48.57705419999547,Go,space,0.5006775001529604,Correct,False,False
35,,35,49.59324409998953,Go,space,0.4332395999226719,Correct,False,False
36,,36,50.60845059994608,Go,space,0.5834695000667125,Correct,False,False
37,,37,51.624379199929535,Go,space,0.4500454000663012,Correct,False,False
38,,38,52.640453699976206,Go,space,0.4830239000730216,Correct,False,False
39,,39,53.65592389996164,Go,space,0.4493480001110583,Correct,False,False
40,,40,54.67084360006265,No_go,,0.0,Correct,False,False
41,,41,56.69339210004546,No_go,,0.0,Correct,False,False
42,,42,58.70966829988174,Go,space,0.4571098999585956,Correct,False,False
43,,43,59.71692689997144,Go,space,0.5347371001262218,Correct,False,False
44,,44,60.73186909989454,Go,space,0.4333796999417245,Correct,False,False
45,1.0,45,72.47179350000806,Go,space,0.599820600124076,Correct,False,False
46,1.0,46,73.47069890005514,No_go,space,0.4862867000047117,Incorrect,False,True
47,1.0,47,74.46999039989896,Go,space,0.45016729994677,Correct,False,False
48,1.0,48,75.46956009999849,Go,space,0.4321746001951396,Correct,False,False
49,1.0,49,76.46787879988551,Go,space,0.3999800998717546,Correct,False,False
50,1.0,50,77.46680839988403,Go,space,0.6834908998571336,Correct,False,False
51,1.0,51,78.46920960000716,Go,space,0.4471563999541104,Correct,False,False
52,1.0,52,79.465326000005,Go,space,0.4330076000187546,Correct,False,False
53,1.0,53,80.46361349988729,Go,space,0.4669071999378502,Correct,False,False
54,1.0,54,81.46181740006432,Go,space,0.5010818999726325,Correct,False,False
55,1.0,55,82.46130939992145,Go,space,0.4341007000766694,Correct,False,False
56,1.0,56,83.46180039993487,Go,space,0.3827828001230955,Correct,False,False
57,1.0,57,84.45964679983445,Go,space,0.4008357001002878,Correct,False,False
58,1.0,58,85.45872669992968,No_go,space,0.383866999996826,Incorrect,False,True
59,1.0,59,86.45761569985189,Go,space,0.400445899926126,Correct,False,False
60,1.0,60,87.45695469994098,Go,space,0.3002677001059055,Correct,False,False
61,1.0,61,88.45619419985451,Go,space,0.3337447000667453,Correct,False,False
62,1.0,62,89.45559979998507,Go,space,0.3682232999708503,Correct,False,False
63,1.0,63,90.45456380001268,Go,space,0.333602000027895,Correct,False,False
64,1.0,64,91.45326899993232,Go,space,0.3357071001082659,Correct,False,False
65,1.0,65,92.45213719992898,Go,space,0.3676066999323666,Correct,False,False
66,1.0,66,93.45128779998048,Go,space,0.4677851998712867,Correct,False,False
67,1.0,67,94.4504517999012,Go,space,0.3840954001061618,Correct,False,False
